1 25 49
2209 27804529 55606849
9006001 27888961 46771921
6315169 28058209 49801249
12103441 28143025 44182609
27050401 28143025 29235649
24910081 28185481 31460881
485809 28270489 56055169
22819729 28270489 33721249
2588881 28313041 54037201
7612081 28313041 49014001
20784481 28398241 36012001
25331089 28440889 31550689
18809569 28569025 38328481
22363441 28569025 34774609
49729 28654609 57259489
9878449 28654609 47430769
4669921 28783225 52896529
6315169 28783225 51251281
16900321 28783225 40666129
19509889 28783225 38056561
1825201 28955161 56085121
185761 29041321 57896881
15062161 29041321 43020481
16785409 29084449 41383489
5121169 29300569 53479969
13300609 29343889 45387169
1324801 29474041 57623281
14205361 29474041 44742721
247009 29560969 58874929
3243601 29604481 55965361
11621281 29691601 47761921
25921 29866225 59706529
4036081 29866225 55696369
5987809 29953729 53919649
11785489 29953729 48121969
28376929 29997529 31618129
10029889 30085225 50140561
25230529 30085225 34939921
22193521 30261001 38328481
677329 30393169 60109009
29235649 30393169 31550689
3066001 30481441 57896881
2053489 30525625 58997761
8532241 30525625 52519009
9541921 30525625 51509329
19280881 30525625 41770369
12769 30747025 61481281
4355569 30747025 57138481
16507969 30880249 45252529
7134241 31013761 54893281
18464209 31058329 43652449
2217121 31147561 60078001
305809 31192225 62078641
7491169 31192225 54893281
13890529 31326409 48762289
16507969 31326409 46144849
1117249 31550689 61984129
5841889 31550689 57259489
152881 31685641 63218401
28313041 31685641 35058241
25090081 31820881 38551681
1495729 31866025 62236321
11444689 31866025 52287361
5650129 31956409 58262689
12837889 32001649 51165409
4661281 32137561 59613841
19018321 32364721 45711121
11135569 32410249 53684929
9186961 32501401 55815841
908209 32638369 64368529
1803649 32638369 63473089
452929 32684089 64915249
3598609 32775625 61952641
31550689 32775625 34000561
4036081 32821441 61606801
29149201 32821441 36493681
26801329 32913169 39025009
1 32959081 65918161
24512401 33051001 41589601
7134241 33235225 59336209
22287841 33235225 44182609
8025889 33373729 58721569
31618129 33373729 35129329
461041 33466225 66471409
2660161 33466225 64272289
20133169 33466225 46799281
28206721 33466225 38725729
24910081 33651601 42393121
919681 33744481 66569281
18054001 33744481 49434961
2666689 33790969 64915249
11082241 33884041 56685841
78961 33930625 67782289
21743569 33930625 46117681
5303809 34070569 62837329
16056049 34070569 52085089
1852321 34210801 66569281
18722929 34304449 49885969
160801 34351321 68541841
14145121 34445161 54745201
8814961 34586161 60357361
15864289 34774609 53684929
1560001 34869025 68178049
12327121 34869025 57410929
1181569 35010889 68840209
3713329 35010889 66308449
4190209 35200489 66210769
31550689 35200489 38850289
14161 35295481 70576801
34000561 35295481 36590401
10608049 35343025 60078001
13184161 35343025 57501889
28058209 35343025 42627841
31460881 35343025 39225169
28976689 35438209 41899729
24690961 35581225 46471489
26553409 35581225 44609041
24196561 35772361 47348161
654481 35868121 71081761
8994001 35868121 62742241
3157729 35916049 68674369
21464689 35916049 50367409
10699441 36012001 61324561
21911761 36012001 50112241
734449 36060025 71385601
2380849 36060025 69739201
27889 36300625 72573361
19704721 36300625 52896529
18395521 36348841 54302161
7491169 36445369 65399569
17581249 36638809 55696369
277729 36784225 73290721
8427409 36784225 65141041
15499969 36881329 58262689
15547249 37027225 58507201
35129329 37027225 38925121
6105841 37075921 68046001
1324801 37222201 73119601
3389281 37319881 71250481
27867841 37319881 46771921
208849 37368769 74528689
13608721 37466641 61324561
24433249 37613689 50794129
58081 37761025 75463969
4844401 37761025 70677649
11771761 37957921 64144081
36590401 37957921 39325441
31281649 38105929 44930209
10297681 38254225 66210769
28718881 38254225 47789569
889249 38402809 75916369
564001 38502025 76440049
3713329 38502025 73290721
